ID	Name	Type	Action	Stat	Description	Buy	Sell	Discoverable
0	Aguav Berry	Berries	Curr HP	0.05	Restores 5% of Pokemon's total HP.	100	20	1
1	Figy Berry	Berries	Curr HP	0.05	Restores 5% of Pokemon's total HP.	100	20	1
2	Iapapa Berry	Berries	Curr HP	0.15	Restores 15% of Pokemon's total HP but causes paralysis.	100	20	1
3	Mago Berry	Berries	Curr HP	0.15	Restores 15% of Pokemon's total HP but causes sleep.	100	20	1
4	Wiki Berry	Berries	Curr HP	0.05	Restores 5% of Pokemon's total HP but causes confusion.	100	20	1
5	Tamato Berry	Berries	Battles	1	Increases friendship.	100	20	1
6	Grepa Berry	Berries	Battles	1	Increases friendship.	100	20	1
7	Hondew Berry	Berries	Battles	1	Increases friendship.	100	20	1
8	Pomeg Berry	Berries	Battles	1	Increases friendship.	100	20	1
9	Qualot Berry	Berries	Battles	1	Increases friendship.	100	20	1
10	Kelpsy Berry	Berries	Battles	1	Increases friendship.	100	20	1
11	Chesto Berry	Berries	Status	Sleep	Recovers a Pokemon from sleep.	100	20	1
12	Pecha Berry	Berries	Status	Poison	Recovers a Pokemon from poison.	100	20	1
13	Cheri Berry	Berries	Status	Paralysis	Recovers a Pokemon from paralysis.	100	20	1
14	Persim Berry	Berries	Status	Confusion	Recovers a Pokemon from confusion.	100	20	1
15	Lum Berry	Berries	Status	Sleep	Recovers a Pokemon from sleep.	100	20	1
16	Rawst Berry	Berries	Status	Burn	Recovers a Pokemon from burn.	100	20	1
17	Sitrus Berry	Berries	Heal	0.04	Heals a Pokemon by a little bit.	100	20	1
18	Oran Berry	Berries	Heal	0.04	Heals a Pokemon by a little bit.	100	20	1
19	Aspear Berry	Berries	Status	Frozen	Defrosts a Pokemon.	100	20	1
20	Pearl String	General items	Money		Very large pearls that sparkle in a pretty silver color.	10000	2000	1
21	Pretty Wing	General items	Money		Though this feather is beautiful, it's just a regular feather and has no effect on Pokémon.	10000	2000	1
22	Stardust	General items	Money		Lovely, red-colored sand with a loose, silky feel. It can be sold at a high price to shops.	8000	1600	1
23	Dawn Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
24	Dusk Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
25	Fire Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
26	Ice Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
27	Leaf Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
28	Moon Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
29	Shiny Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
30	Sun Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
31	Thunder Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
32	Water Stone	General items	Evolve		Evolves certain species of Pokémon.	2000	400	1
33	Roller Skates	General items	RP		Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks.	500	100	1
34	Yellow Apricorn	General items	Apricorn		A yellow Apricorn. It has an invigorating scent.	100	20	1
35	White Apricorn	General items	Apricorn		A white Apricorn. It doesn't smell like anything.	100	20	1
36	Sprinklotad	General items	Watering Can		A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil.	100	20	1
37	Yellow Flute	General items	Money		A toy flute made from yellow glass.	300	60	1
38	White Flute	General items	Money		A toy flute made from white glass.	300	60	1
39	Red Flute	General items	Money		A toy flute made from red glass. 	300	60	1
40	Blue Flute	General items	Money		A toy flute made from blue glass.	300	60	1
41	Black Flute	General items	Money		A toy flute made from black glass.	300	60	1
42	Honey	General items	RP		A sweet honey with a lush aroma that attracts wild Pokémon when it is used in grass, caves, or on special trees.	200	40	1
43	Pearl	General items	Money		A somewhat-small pearl that sparkles in a pretty silver color. It can be sold cheaply to shops.	8000	1600	1
44	Tiny Mushroom	General items	Money		A small and rare mushroom. It is sought after by collectors.	5000	1000	1
45	Relic Silver	General items	Money		A silver coin used in a civilization about 3,000 years ago.	7000	1400	1
46	Comet Shard	General items	Money		A shard which fell to the ground when a comet approached.	2000	400	1
47	Star Piece	General items	Money		A shard of a pretty gem that sparkles in a red color. It can be sold at a high price to shops.	4000	800	1
48	Red Apricorn	General items	Apricorn		A red Apricorn. It assails your nostrils.	100	20	1
49	Balm Mushroom	General items	Apricorn		A rare mushroom which gives off a nice fragrance.	2000	400	1
50	Big Pearl	General items	Money		A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.	4000	800	1
51	Heart Scale	General items	Money		A pretty, heart-shaped scale that is extremely rare. It glows faintly in the colors of the rainbow.	1000	200	1
52	Pink Apricorn	General items	Apricorn		A pink Apricorn. It has a nice, sweet scent.	100	20	1
53	Beach Glass	General items	Money		A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.	5000	1000	1
54	Old Amber	General items	Money		A piece of amber that contains the genetic material of an ancient Pokémon. It is clear with a reddish tint.	6000	1200	1
