ID	Name	Type	Category	PP	Power	Accuracy	Status Chance	Status	Times	Weather	P Critical Hits	P HP	P Attack	O Attack	P Defense	O Defense	P Sp Attack	O Sp Attack	P Sp Defense	O Sp Defense	P Speed	O Speed	Flinch	Description
1	Pound	Normal	Physical	35	40	1			1		0		0	0	0	0	0	0	0	0	0	0	Not Found	The target is physically pounded with a long tail, a foreleg, or the like.
2	Karate Chop	Fighting	Physical	25	50	1			1		1		0	0	0	0	0	0	0	0	0	0	0	The target is attacked with a sharp chop. Critical hits land more easily.
3	Double Slap	Normal	Physical	10	15	0.85			2,5		0		0	0	0	0	0	0	0	0	0	0	0	The target is slapped repeatedly, back and forth, two to five times in a row.
4	Comet Punch	Normal	Physical	15	18	0.85			2,5		0		0	0	0	0	0	0	0	0	0	0	0	The target is hit with a flurry of punches that strike two to five times in a row.
5	Mega Punch	Normal	Physical	20	80	0.85			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is slugged by a punch thrown with muscle-packed power.
6	Pay Day	Normal	Physical	20	40	1			1		0		0	0	0	0	0	0	0	0	0	0	0	Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.
7	Fire Punch	Fire	Physical	15	75	1	0.1	Burn	1		0		0	0	0	0	0	0	0	0	0	0	0	The target is punched with a fiery fist. This may also leave the target with a burn.
8	Ice Punch	Ice	Physical	15	75	1	0.1	Freeze	1		0		0	0	0	0	0	0	0	0	0	0	0	The target is punched with an icy fist. This may also leave the target frozen.
9	Thunder Punch	Electric	Physical	15	75	1	0.1	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	The target is punched with an electrified fist. This may also leave the target with paralysis.
10	Scratch	Normal	Physical	35	40	1			1		0		0	0	0	0	0	0	0	0	0	0	0	Hard, pointed, sharp claws rake the target to inflict damage.
11	Vise Grip	Normal	Physical	30	55	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is gripped and squeezed from both sides to inflict damage.
12	Guillotine	Normal	Physical	5	100	0.3			1		0		0	0	0	0	0	0	0	0	0	0	0	A vicious, tearing attack with big pincers. The target faints instantly if this attack hits.
13	Razor Wind	Normal	Special	10	80	1			2		1		0	0	0	0	0	0	0	0	0	0	0	Blades of wind hit opposing Pokémon. Critical hits land more easily.
14	Swords Dance	Normal	Status	20	0	1			1		0		2	0	0	0	0	0	0	0	0	0	0	A frenetic dance to uplift the fighting spirit. This sharply raises the user's Attack stat.
15	Cut	Normal	Physical	30	50	0.95			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is cut with a scythe or claw. This can also be used to cut down thin trees.
16	Gust	Flying	Special	35	40	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A gust of wind is whipped up by wings and launched at the target to inflict damage.
17	Wing Attack	Flying	Physical	35	60	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is struck with large, imposing wings spread wide to inflict damage.
18	Whirlwind	Normal	Status	20	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is blown away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.
19	Fly	Flying	Physical	15	90	0.95			1		0		0	0	0	0	0	0	0	0	0	0	0	The user soars and then strikes its target on the next turn. This can also be used to fly to any familiar town.
20	Bind	Normal	Physical	20	15	0.85			1		0		0	0	0	0	0	0	0	0	0	0	0	Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.
21	Slam	Normal	Physical	20	80	0.75			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is slammed with a long tail, vines, or the like to inflict damage.
22	Vine Whip	Grass	Physical	25	45	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is struck with slender, whiplike vines to inflict damage.
23	Stomp	Normal	Physical	20	65	1			1		0		0	0	0	0	0	0	0	0	0	0	1	The target is stomped with a big foot. This may also make the target flinch.
24	Double Kick	Fighting	Physical	30	30	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is quickly kicked twice in succession using both feet.
25	Mega Kick	Normal	Physical	5	120	0.75			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is attacked by a kick launched with muscle-packed power.
26	Jump Kick	Fighting	Physical	10	100	0.95			1		0		0	0	0	0	0	0	0	0	0	0	0	The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself.
27	Rolling Kick	Fighting	Physical	15	60	0.85			1		0		0	0	0	0	0	0	0	0	0	0	1	The user lashes out with a quick, spinning kick. This may also make the target flinch.
28	Sand Attack	Ground	Status	15	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	Sand is hurled in the target's face, reducing the target's accuracy.
29	Headbutt	Normal	Physical	15	70	1			1		0		0	0	0	0	0	0	0	0	0	0	1	The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.
30	Horn Attack	Normal	Physical	25	65	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is jabbed with a sharply pointed horn to inflict damage.
31	Fury Attack	Normal	Physical	20	15	0.85			2,5		0		0	0	0	0	0	0	0	0	0	0	0	The target is jabbed repeatedly with a horn or beak two to five times in a row.
32	Horn Drill	Normal	Physical	5	250	0.3			1		0		0	0	0	0	0	0	0	0	0	0	0	The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.
33	Tackle	Normal	Physical	35	40	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A physical attack in which the user charges and slams into the target with its whole body.
34	Body Slam	Normal	Physical	15	85	1	0.3	Paralysis	1		0		0	0	0	0	0	0	0	0	0	0	0	The user drops onto the target with its full body weight. This may also leave the target with paralysis.
35	Wrap	Normal	Physical	20	15	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	A long body or vines are used to wrap and squeeze the target for four to five turns.
36	Take Down	Normal	Physical	20	90	0.85			1		0		0	0	0	0	0	0	0	0	0	0	0	A reckless, full-body charge attack for slamming into the target. This also damages the user a little.
37	Thrash	Normal	Physical	10	120	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user rampages and attacks for two to three turns. The user then becomes confused.
38	Double-Edge	Normal	Physical	15	120	1			1		0		0	0	0	0	0	0	0	0	0	0	0	A reckless, life-risking tackle. This also damages the user quite a lot.
39	Tail Whip	Normal	Status	30	0	1			1		0		0	0	0	-1	0	0	0	0	0	0	0	The user wags its tail cutely, making opposing Pokémon less wary and lowering their Defense stat.
40	Poison Sting	Poison	Physical	35	15	1	0.3	Poison	1		0		0	0	0	0	0	0	0	0	0	0	0	The user stabs the target with a poisonous stinger. This may also poison the target.
41	Twineedle	Bug	Physical	20	25	1	0.1	Poison	1		0		0	0	0	0	0	0	0	0	0	0	0	The user damages the target twice in succession by jabbing it with two spikes. This may also poison the target.
42	Pin Missile	Bug	Physical	20	25	0.95			2,5		0		0	0	0	0	0	0	0	0	0	0	0	Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.
43	Leer	Normal	Status	30	0	1			1		0		0	0	0	-1	0	0	0	0	0	0	0	The user gives opposing Pokémon an intimidating leer that lowers the Defense stat.
44	Bite	Dark	Physical	25	60	1			1		0		0	0	0	0	0	0	0	0	0	0	1	The target is bitten with viciously sharp fangs. This may also make the target flinch.
45	Growl	Normal	Status	40	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user growls in an endearing way, making opposing Pokémon less wary. This lowers their Attack stats.
46	Roar	Normal	Status	20	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is scared off and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.
47	Sing	Normal	Status	15	0	0.55	1	Sleep	1		0		0	0	0	0	0	0	0	0	0	0	0	A soothing lullaby is sung in a calming voice that puts the target into a deep slumber.
48	Supersonic	Normal	Status	20	0	0.55	1	Confusion	1		0		0	0	0	0	0	0	0	0	0	0	0	The user generates odd sound waves from its body that confuse the target.
49	Sonic Boom	Normal	Special	20	20	0.9			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is hit with a destructive shock wave.
50	Disable	Normal	Status	20	0	1			1		0		0	0	0	0	0	0	0	0	0	0	0	For four turns, this move prevents the target from using the move it last used.
51	Acid	Poison	Special	30	40	1			1		0		0	0	0	0	0	0	0	-1	0	0	0	The opposing Pokémon are attacked with a spray of harsh acid. This may also lower their Sp. Def stats.
52	Ember	Fire	Special	25	40	1	0.1	Burn	1		0		0	0	0	0	0	0	0	0	0	0	0	The target is attacked with small flames. This may also leave the target with a burn.
53	Flamethrower	Fire	Special	15	90	1	0.1	Burn	1		0		0	0	0	0	0	0	0	0	0	0	0	The target is scorched with an intense blast of fire. This may also leave the target with a burn.
54	Mist	Ice	Status	30	0	1			1		0		0	0	1	0	0	0	0	0	0	0	0	The user summons a mist to increase its Defense.
55	Water Gun	Water	Special	25	40	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is blasted with a forceful shot of water.
56	Hydro Pump	Water	Special	5	110	0.8			1		0		0	0	0	0	0	0	0	0	0	0	0	The target is blasted by a huge volume of water launched under great pressure.
57	Surf	Water	Special	15	90	1			1		0		0	0	0	0	0	0	0	0	0	0	0	The user attacks everything around it by swamping its surroundings with a giant wave. This can also be used for crossing water.
58	Ice Beam	Ice	Special	10	90	1	0.1	Freeze	1		0		0	0	0	0	0	0	0	0	0	0	0	The target is struck with an icy-cold beam of energy. This may also leave the target frozen.
