ID	Pid	Pname	Tid	Tname	Plname	Full Name	Gender	Name	Level	Moves	Battles	Status	Curr HP	HP	Exp	Attack	Defense	Sp Attack	Sp Defense	Speed	HP IV	Attack IV	Defense IV	Sp Attack IV	Sp Defense IV	Speed IV	HP EV	Attack EV	Defense EV	Sp Attack EV	Sp Defense EV	Speed EV	Curr Attack	Curr Defense	Curr Sp Attack	Curr Sp Defense	Curr Speed	Flinched
8	805	Maora	2	Brick	Quentin	Brick's Maora (Maora)	Male	Maora	4	314,240	0		8	14	90	14	14	14	14	12	12	19	14	15	18	22	0	0	0	0	0	0	13	13	13	13	12	0
22	315	Roselia	2	Brick	Quentin	Brick's Roselia (Flower)	Female	Flower	12	156,79,438	0	Paralysis	38	22	127	22	17	32	27	21	24	24	12	27	27	11	0	0	0	0	0	0	10	9	14	12	10	0
11	814	Lymird	3	Lily	Ryan	Lily's Lymird (Lymird)	Male	Lymird	8	241,38	0		13	18	126	19	22	21	27	19	28	8	16	16	27	12	0	0	0	0	0	0	12	13	13	13	12	0
17	309	Electrike	3	Lily	Ryan	Lily's Electrike (Found in Bush)	Male	Found in Bush	8	216,521	0		13	18	297	13	13	17	12	17	6	13	30	26	14	20	0	0	0	0	0	0	14	14	15	13	15	0
7	802	Yanari	0	Mango	Meg	Mango's Yanari (Hand Dude)	Male	Hand Dude	11	123,466	0		13	21	247	13	13	28	15	25	21	5	19	10	21	25	0	0	0	0	0	0	12	12	12	12	12	0
16	570	Zorua	0	Mango	Meg	Mango's Zorua (Hamburger)	Female	Hamburger	6	326,156,182	0		14	16	29	13	10	15	9	14	15	6	8	8	2	27	0	0	0	0	0	0	17	15	18	15	17	0
12	817	Crysli	1	Peach	Ava	Peach's Crysli (Asteria)	Female	Asteria	4	252,813	0		14	14	3	8	11	9	10	9	31	3	24	9	18	28	0	0	0	0	0	0	12	12	12	12	13	0
20	92	Gastly	1	Peach	Ava	Peach's Gastly (Sulfur)	Female	Sulfur	7	29,373,247,50	0		17	17	98	10	10	19	10	17	1	13	18	5	10	14	0	0	0	0	0	0	10	10	19	10	17	0
23	129	Magikarp	1	Peach	Ava	Peach's Magikarp (Priam)	Female	Priam	9	340	0		19	19	0	9	15	9	10	20	14	30	5	18	18	17	0	0	0	0	0	0	9	15	9	10	20	0
28	276	Taillow	1	Peach	Ava	Peach's Taillow (Zephyr)	Male	Zephyr	3	214,143,218	0		0	16	0	8	7	7	7	10	20	16	22	22	19	27	0	0	0	0	0	0	8	7	7	7	10	0
10	811	Glubwee	5	Sage	Anthony	Sage's Glubwee (Shaggy)	Female	Shaggy	4	87,91	0		0	14	89	11	10	9	10	7	11	9	30	29	30	18	0	0	0	0	0	0	12	12	12	12	11	0
13	704	Goomy	5	Sage	Anthony	Sage's Goomy (Anthony's Stolen Pokemon 1)	Female	Anthony's Stolen Pokemon 1	9	200,482	0		12	19	196	16	11	17	19	13	24	29	1	28	12	18	0	0	0	0	0	0	12	11	12	12	11	0
14	124	Jynx	5	Sage	Anthony	Sage's Jynx (Anthony's Stolen Pokemon 2)	Male	Anthony's Stolen Pokemon 2	2	343,99	0		12	12	11	12	12	13	13	12	3	8	3	26	29	1	0	0	0	0	0	0	12	11	13	13	12	0
0	37	Vulpix				Wild Vulpix	Male	Grunt 1's Pokemon	1	590,185	0		11	11	0	6	5	6	6	6	1	30	12	23	13	11	0	0	0	0	0	0	6	5	6	6	6	0
1	87	Dewgong	3	Lily	Ryan	Lily's Dewgong (Grunt 2's Pokemon)	Female	Grunt 2's Pokemon	10	218,164,38,258	0		19	20	85	21	23	19	25	19	8	26	23	5	13	7	0	0	0	0	0	0	19	21	18	23	18	0
2	153	Bayleef				Wild Bayleef	Female	Grunt 3's Pokemon	3	173,182,70	0		13	13	0	9	10	8	10	9	13	11	31	5	7	14	0	0	0	0	0	0	9	10	8	10	9	0
3	636	Larvesta	2	Brick	Quentin	Brick's Larvesta (Derrick's Pokemon 1)	Female	Derrick's Pokemon 1	5	126,182,106	0		14	15	19	14	10	10	11	11	15	25	6	4	26	2	0	0	0	0	0	0	12	9	9	10	9	0
4	790	Cosmoem				Wild Cosmoem	Male	Derrick's Pokemon 2	9	322	0		19	19	0	12	30	11	31	13	23	25	21	18	28	15	0	0	0	0	0	0	12	30	11	31	13	0
5	51	Dugtrio				Wild Dugtrio	Male	Derrick's Pokemon 3	3	253,201,117	0		13	13	0	11	8	8	9	11	29	1	8	7	8	2	0	0	0	0	0	0	11	8	8	9	11	0
25	555	Darnanitan	7	Zed the Heir	DM	Zed the Heir's Darnanitan (Daze)	Female	Daze	7	283,173	0		11	11	0	5	7	8	7	6	9	2	9	23	24	12	0	0	0	0	0	0	5	7	8	7	6	0
26	635	Hydreigon	7	Zed the Heir	DM	Zed the Heir's Hydreigon (Iggy)	Male	Iggy	9	366,317,218,259	0		19	19	0	25	22	29	23	24	15	19	10	22	23	24	0	0	0	0	0	0	11	17	11	18	11	0
27	197	Umbreon	7	Zed the Heir	DM	Zed the Heir's Umbreon (Bree)	Female	Bree	5	138,63,180	0		15	15	0	11	17	11	18	11	8	4	31	1	19	5	0	0	0	0	0	0	11	17	11	18	11	0
