id	name	type	category	pp	power	accuracy	status	status chance
1	Pound	Normal	Physical	35	40	1		
2	Karate Chop	Fighting	Physical	25	50	1		
3	Double Slap	Normal	Physical	10	15	0.85		
4	Comet Punch	Normal	Physical	15	18	0.85		
5	Mega Punch	Normal	Physical	20	80	0.85		
6	Pay Day	Normal	Physical	20	40	1		
7	Fire Punch	Fire	Physical	15	75	1	0.1	Burn
8	Ice Punch	Ice	Physical	15	75	1	0.1	Freeze
9	Thunder Punch	Electric	Physical	15	75	1	0.1	Paralysis
10	Scratch	Normal	Physical	35	40	1		
11	Vise Grip	Normal	Physical	30	55	1		
12	Guillotine	Normal	Physical	5	0	0.3		
13	Razor Wind	Normal	Special	10	80	1		
14	Swords Dance	Normal	Status	20	0	1		
15	Cut	Normal	Physical	30	50	0.95		
16	Gust	Flying	Special	35	40	1		
17	Wing Attack	Flying	Physical	35	60	1		
18	Whirlwind	Normal	Status	20	0	1		
19	Fly	Flying	Physical	15	90	0.95		
20	Bind	Normal	Physical	20	15	0.85		
21	Slam	Normal	Physical	20	80	0.75		
22	Vine Whip	Grass	Physical	25	45	1		
23	Stomp	Normal	Physical	20	65	1		
24	Double Kick	Fighting	Physical	30	30	1		
25	Mega Kick	Normal	Physical	5	120	0.75		
26	Jump Kick	Fighting	Physical	10	100	0.95		
27	Rolling Kick	Fighting	Physical	15	60	0.85		
28	Sand Attack	Ground	Status	15	0	1		
29	Headbutt	Normal	Physical	15	70	1		
30	Horn Attack	Normal	Physical	25	65	1		
31	Fury Attack	Normal	Physical	20	15	0.85		
32	Horn Drill	Normal	Physical	5	0	0.3		
33	Tackle	Normal	Physical	35	40	1		
34	Body Slam	Normal	Physical	15	85	1	0.3	Paralysis
35	Wrap	Normal	Physical	20	15	0.9		
36	Take Down	Normal	Physical	20	90	0.85		
37	Thrash	Normal	Physical	10	120	1		
38	Double-Edge	Normal	Physical	15	120	1		
39	Tail Whip	Normal	Status	30	0	1		
40	Poison Sting	Poison	Physical	35	15	1	0.3	Poison
41	Twineedle	Bug	Physical	20	25	1		
42	Pin Missile	Bug	Physical	20	25	0.95		
43	Leer	Normal	Status	30	0	1		
44	Bite	Dark	Physical	25	60	1		
45	Growl	Normal	Status	40	0	1		
46	Roar	Normal	Status	20	0	1		
47	Sing	Normal	Status	15	0	0.55	1	Sleep
48	Supersonic	Normal	Status	20	0	0.55	1	Confusion
49	Sonic Boom	Normal	Special	20	0	0.9		
50	Disable	Normal	Status	20	0	1		
51	Acid	Poison	Special	30	40	1		
52	Ember	Fire	Special	25	40	1	0.1	Burn
53	Flamethrower	Fire	Special	15	90	1	0.1	Burn
54	Mist	Ice	Status	30	0	1		
55	Water Gun	Water	Special	25	40	1		
56	Hydro Pump	Water	Special	5	110	0.8		
57	Surf	Water	Special	15	90	1		
58	Ice Beam	Ice	Special	10	90	1	0.1	Freeze
59	Blizzard	Ice	Special	5	110	0.7	0.1	Freeze
60	Psybeam	Psychic	Special	20	65	1	0.1	Confusion
61	Bubble Beam	Water	Special	20	65	1		
62	Aurora Beam	Ice	Special	20	65	1		
63	Hyper Beam	Normal	Special	5	150	0.9		
64	Peck	Flying	Physical	35	35	1		
65	Drill Peck	Flying	Physical	20	80	1		
66	Submission	Fighting	Physical	20	80	0.8		
67	Low Kick	Fighting	Physical	20	0	1		
68	Counter	Fighting	Physical	20	0	1		
69	Seismic Toss	Fighting	Physical	20	0	1		
70	Strength	Normal	Physical	15	80	1		
71	Absorb	Grass	Special	25	20	1		
72	Mega Drain	Grass	Special	15	40	1		
73	Leech Seed	Grass	Status	10	0	0.9		
74	Growth	Normal	Status	20	0	1		
75	Razor Leaf	Grass	Physical	25	55	0.95		
76	Solar Beam	Grass	Special	10	120	1		
77	Poison Powder	Poison	Status	35	0	0.75	1	Poison
78	Stun Spore	Grass	Status	30	0	0.75	1	Paralysis
79	Sleep Powder	Grass	Status	15	0	0.75	1	Sleep
80	Petal Dance	Grass	Special	10	120	1		
81	String Shot	Bug	Status	40	0	0.95		
82	Dragon Rage	Dragon	Special	10	0	1		
83	Fire Spin	Fire	Special	15	35	0.85		
84	Thunder Shock	Electric	Special	30	40	1	0.1	Paralysis
85	Thunderbolt	Electric	Special	15	90	1	0.1	Paralysis
86	Thunder Wave	Electric	Status	20	0	0.9	1	Paralysis
87	Thunder	Electric	Special	10	110	0.7	0.3	Paralysis
88	Rock Throw	Rock	Physical	15	50	0.9		
89	Earthquake	Ground	Physical	10	100	1		
90	Fissure	Ground	Physical	5	0	0.3		
91	Dig	Ground	Physical	10	80	1		
92	Toxic	Poison	Status	10	0	0.9	1	Poison
93	Confusion	Psychic	Special	25	50	1	0.1	Confusion
94	Psychic	Psychic	Special	10	90	1		
95	Hypnosis	Psychic	Status	20	0	0.6	1	Sleep
96	Meditate	Psychic	Status	40	0	1		
97	Agility	Psychic	Status	30	0	1		
98	Quick Attack	Normal	Physical	30	40	1		
99	Rage	Normal	Physical	20	20	1		
100	Teleport	Psychic	Status	20	0	1		
101	Night Shade	Ghost	Special	15	0	1		
102	Mimic	Normal	Status	10	0	1		
103	Screech	Normal	Status	40	0	0.85		
104	Double Team	Normal	Status	15	0	1		
105	Recover	Normal	Status	10	0	1		
106	Harden	Normal	Status	30	0	1		
107	Minimize	Normal	Status	10	0	1		
108	Smokescreen	Normal	Status	20	0	1		
109	Confuse Ray	Ghost	Status	10	0	1	1	Confusion
110	Withdraw	Water	Status	40	0	1		
111	Defense Curl	Normal	Status	40	0	1		
112	Barrier	Psychic	Status	20	0	1		
113	Light Screen	Psychic	Status	30	0	1		
114	Haze	Ice	Status	30	0	1		
115	Reflect	Psychic	Status	20	0	1		
116	Focus Energy	Normal	Status	30	0	1		
117	Bide	Normal	Physical	10	0	1		
118	Metronome	Normal	Status	10	0	1		
119	Mirror Move	Flying	Status	20	0	1		
120	Self-Destruct	Normal	Physical	5	200	1		
121	Egg Bomb	Normal	Physical	10	100	0.75		
122	Lick	Ghost	Physical	30	30	1	0.3	Paralysis
123	Smog	Poison	Special	20	30	0.7	0.4	Poison
124	Sludge	Poison	Special	20	65	1	0.3	Poison
125	Bone Club	Ground	Physical	20	65	0.85		
126	Fire Blast	Fire	Special	5	110	0.85	0.3	Burn
127	Waterfall	Water	Physical	15	80	1		
128	Clamp	Water	Physical	15	35	0.85		
129	Swift	Normal	Special	20	60	1		
130	Skull Bash	Normal	Physical	10	130	1		
131	Spike Cannon	Normal	Physical	15	20	1		
132	Constrict	Normal	Physical	35	10	1		
133	Amnesia	Psychic	Status	20	0	1		
134	Kinesis	Psychic	Status	15	0	0.8		
135	Soft-Boiled	Normal	Status	10	0	1		
136	High Jump Kick	Fighting	Physical	10	130	0.9		
137	Glare	Normal	Status	30	0	1	1	Paralysis
138	Dream Eater	Psychic	Special	15	100	1		
139	Poison Gas	Poison	Status	40	0	0.9	1	Poison
